release_year,duration_int,rating_encoded,country_encoded,genre_encoded,length_encoded,type_encoded
2013,1.0,9,37,2,2,1
2021,48.0,14,81,4,2,0
2020,145.0,9,81,7,0,0
2021,145.0,9,81,7,0,0
2021,93.0,14,81,4,1,0
2021,106.0,8,80,0,1,0
2021,6.0,9,80,8,2,1
2021,1.0,11,81,21,2,1
2020,147.0,11,50,0,0,0
2021,1.0,14,81,2,2,1
2021,87.0,11,81,15,1,0
2019,2.0,13,81,17,2,1
2021,96.0,7,81,10,1,0
2017,4.0,14,81,17,2,1
2019,95.0,11,70,24,1,0
2021,92.0,9,21,10,1,0
2021,2.0,11,6,16,2,1
2021,91.0,11,81,12,1,0
2018,90.0,6,79,4,1,0
2021,3.0,11,80,21,2,1
2018,97.0,11,80,10,1,0
2021,2.0,14,80,17,2,1
2021,1.0,13,79,3,2,1
2021,1.0,11,21,30,2,1
2019,2.0,14,81,17,2,1
2021,80.0,11,80,10,1,0
2021,1.0,9,81,11,2,1
2020,117.0,11,81,12,1,0
2016,2.0,13,68,17,2,1
2017,128.0,9,30,0,0,0
2021,5.0,10,80,17,2,1
2018,90.0,3,80,4,1,0
2021,1.0,10,2,17,2,1
2021,5.0,11,70,8,2,1
2021,1.0,11,81,11,2,1
2021,1.0,13,80,17,2,1
2021,119.0,7,81,12,1,0
2021,110.0,12,81,7,1,0
1994,143.0,9,30,12,0,0
2009,119.0,6,79,12,1,0
2015,114.0,12,30,7,1,0
2021,94.0,7,79,10,1,0
2017,106.0,9,30,12,1,0
2020,99.0,11,81,12,1,0
2021,1.0,14,2,17,2,1
2019,1.0,9,81,16,2,1
2003,118.0,8,79,35,1,0
2012,1.0,14,81,17,2,1
2013,3.0,14,68,17,2,1
2021,1.0,11,80,8,2,1
2020,115.0,9,30,12,1,0
2004,95.0,6,80,4,1,0
2017,115.0,7,81,12,1,0
2005,108.0,7,23,12,1,0
2021,63.0,13,81,4,1,0
1982,117.0,8,80,0,1,0
2021,1.0,11,81,16,2,1
2015,121.0,8,67,0,0,0
1994,142.0,7,80,0,0,0
1993,113.0,8,80,0,1,0
2003,154.0,8,80,12,0,0
2001,95.0,6,2,0,1,0
2010,108.0,7,80,12,1,0
1989,120.0,8,80,6,0,0
2014,100.0,11,1,12,1,0
2015,82.0,8,80,0,1,0
2007,124.0,7,23,12,0,0
2011,114.0,7,80,0,1,0
1990,104.0,8,80,7,1,0
1991,94.0,8,80,7,1,0
1994,94.0,8,80,7,1,0
2021,1.0,12,81,21,2,1
2020,1.0,9,81,34,2,1
1998,93.0,8,80,0,1,0
1999,97.0,8,80,35,1,0
2005,109.0,9,13,0,1,0
2016,88.0,11,80,7,1,0
2016,2.0,13,60,17,2,1
2015,3.0,11,37,2,2,1
1986,101.0,6,79,0,1,0
2010,105.0,6,80,7,1,0
2018,102.0,9,11,24,1,0
2003,101.0,7,80,7,1,0
2010,103.0,11,27,7,1,0
1992,4.0,12,80,30,2,1
1996,106.0,7,80,7,1,0
2017,118.0,7,80,12,1,0
2003,86.0,8,80,7,1,0
1999,121.0,7,80,0,0,0
2019,1.0,11,81,8,2,1
1984,229.0,8,35,6,0,0
2008,76.0,6,80,4,1,0
2001,95.0,6,80,0,1,0
2006,98.0,7,80,0,1,0
1997,89.0,8,80,10,1,0
2017,120.0,7,80,12,0,0
2003,110.0,7,80,7,1,0
2015,83.0,7,80,10,1,0
2003,121.0,8,80,0,0,0
1980,105.0,8,80,12,1,0
1986,94.0,7,80,0,1,0
1961,156.0,9,79,0,0,0
2014,112.0,8,80,0,1,0
1996,95.0,7,80,7,1,0
2000,107.0,7,81,7,1,0
2021,1.0,9,81,11,2,1
2008,114.0,7,80,7,1,0
1993,129.0,8,80,0,0,0
2021,1.0,12,80,21,2,1
2021,86.0,11,81,10,1,0
2021,1.0,9,81,16,2,1
2021,1.0,10,81,16,2,1
2008,97.0,11,21,7,1,0
2020,2.0,13,81,17,2,1
2021,125.0,9,30,12,0,0
2017,107.0,8,79,12,1,0
2008,127.0,9,30,0,0,0
2021,1.0,11,0,16,2,1
2002,1.0,11,81,16,2,1
2008,128.0,9,30,7,0,0
2021,92.0,9,81,7,1,0
2021,1.0,14,81,17,2,1
2021,1.0,11,50,8,2,1
2006,135.0,9,30,7,0,0
2004,124.0,9,30,0,0,0
2003,136.0,9,30,12,0,0
2005,165.0,11,30,7,0,0
2016,124.0,11,30,7,0,0
2012,136.0,11,30,7,0,0
2001,150.0,9,30,7,0,0
2010,112.0,11,30,12,1,0
2008,119.0,9,30,0,1,0
2010,133.0,9,30,12,0,0
2013,142.0,9,30,12,0,0
2011,93.0,11,30,13,1,0
2014,113.0,11,30,13,1,0
2016,2.0,11,33,16,2,1
2021,3.0,12,81,11,2,1
2021,124.0,8,81,0,0,0
2007,116.0,11,30,0,1,0
2011,106.0,9,30,7,1,0
2011,145.0,9,30,7,0,0
2021,1.0,9,81,21,2,1
2021,1.0,9,37,2,2,1
2021,4.0,12,80,17,2,1
2021,93.0,9,81,10,1,0
2021,1.0,11,81,8,2,1
2021,1.0,11,81,8,2,1
2021,1.0,9,81,16,2,1
2021,1.0,11,81,16,2,1
2021,1.0,11,81,16,2,1
2020,95.0,11,80,12,1,0
2014,108.0,8,80,0,1,0
2020,90.0,11,80,13,1,0
2021,86.0,11,81,10,1,0
2021,92.0,6,80,4,1,0
2019,3.0,10,80,21,2,1
2021,82.0,11,79,10,1,0
2021,1.0,13,81,17,2,1
2021,70.0,12,81,10,1,0
2021,122.0,9,81,13,0,0
2021,122.0,9,81,13,0,0
2021,122.0,9,81,13,0,0
2021,122.0,9,81,13,0,0
2021,84.0,11,81,0,1,0
2021,3.0,9,80,31,2,1
2021,1.0,11,81,16,2,1
2021,1.0,11,81,16,2,1
2018,96.0,9,81,12,1,0
2021,1.0,12,81,11,2,1
2021,115.0,11,81,12,1,0
2021,110.0,8,80,0,1,0
2021,1.0,11,81,30,2,1
2021,88.0,14,81,4,1,0
2020,102.0,12,81,12,1,0
2011,91.0,7,80,12,1,0
2021,105.0,11,81,15,1,0
1995,135.0,9,30,12,0,0
2021,5.0,13,80,17,2,1
2021,86.0,11,81,10,1,0
2020,140.0,9,81,12,0,0
2015,133.0,9,81,12,0,0
2020,92.0,11,81,7,1,0
2018,82.0,12,30,7,1,0
2020,1.0,11,81,8,2,1
2021,97.0,9,81,7,1,0
2021,78.0,11,81,10,1,0
2016,2.0,13,80,17,2,1
2014,94.0,8,80,7,1,0
2018,1.0,9,37,2,2,1
2020,1.0,11,30,11,2,1
1993,121.0,8,49,6,0,0
2020,97.0,11,81,12,1,0
2015,2.0,14,35,17,2,1
2021,110.0,11,35,0,1,0
2021,1.0,11,80,31,2,1
2021,5.0,14,80,17,2,1
2021,1.0,11,21,8,2,1
2021,7.0,11,80,30,2,1
2021,1.0,11,1,8,2,1
2021,2.0,11,70,16,2,1
2021,1.0,9,38,16,2,1
2021,64.0,11,14,27,1,0
2021,59.0,12,80,0,2,0
2021,1.0,12,80,21,2,1
2016,101.0,9,50,7,1,0
2020,127.0,11,45,12,0,0
2021,90.0,7,6,10,1,0
2021,114.0,9,79,7,1,0
2013,108.0,8,72,12,1,0
2021,2.0,13,80,17,2,1
2021,1.0,9,81,16,2,1
2018,1.0,11,14,8,2,1
2019,1.0,9,68,16,2,1
2021,70.0,11,80,10,1,0
2021,1.0,9,37,2,2,1
2012,98.0,7,79,7,1,0
2021,86.0,11,67,7,1,0
2020,139.0,12,81,15,0,0
2021,111.0,7,80,0,1,0
2021,1.0,11,34,29,2,1
2021,1.0,11,30,34,2,1
2020,115.0,11,50,7,1,0
2021,102.0,9,21,13,1,0
2021,100.0,6,11,4,1,0
2013,135.0,9,30,0,0,0
2013,69.0,11,7,10,1,0
1985,95.0,11,1,7,1,0
2021,97.0,9,79,10,1,0
1993,124.0,11,1,6,0,0
2016,118.0,12,50,12,1,0
2021,115.0,11,80,13,1,0
2012,115.0,11,80,19,1,0
2021,3.0,12,81,21,2,1
2021,1.0,11,80,8,2,1
2021,2.0,11,45,16,2,1
2021,1.0,11,80,21,2,1
2009,1.0,9,74,16,2,1
1995,104.0,8,80,12,1,0
2010,106.0,11,80,12,1,0
2011,1.0,9,74,16,2,1
2021,102.0,7,80,10,1,0
2021,97.0,11,81,10,1,0
2005,1.0,9,74,16,2,1
2021,1.0,12,81,11,2,1
2013,1.0,9,74,16,2,1
2008,1.0,11,74,16,2,1
2012,7.0,9,80,30,2,1
2020,3.0,14,35,17,2,1
1992,87.0,6,80,4,1,0
1993,88.0,6,80,4,1,0
2007,114.0,7,80,0,1,0
2016,90.0,8,8,0,1,0
2002,142.0,7,80,12,0,0
2009,90.0,6,80,4,1,0
2020,1.0,11,81,2,2,1
1999,105.0,8,80,0,1,0
1986,103.0,7,80,6,1,0
2019,116.0,7,80,12,1,0
2006,113.0,8,80,12,1,0
2010,5.0,9,81,31,2,1
2007,99.0,8,80,7,1,0
2014,6.0,9,37,2,2,1
2021,96.0,9,81,12,1,0
2010,148.0,7,80,0,0,0
1999,189.0,8,80,12,0,0
1995,97.0,7,80,7,1,0
1991,102.0,7,80,12,1,0
1994,99.0,6,80,4,1,0
2015,85.0,6,80,4,1,0
2008,112.0,8,80,0,1,0
2009,91.0,6,70,4,1,0
2019,91.0,7,79,7,1,0
2003,141.0,7,80,12,0,0
2000,130.0,7,80,0,0,0
2004,98.0,8,80,0,1,0
2016,105.0,8,80,7,1,0
2013,101.0,8,80,13,1,0
1991,105.0,8,80,0,1,0
2011,118.0,8,80,12,1,0
2010,97.0,7,80,0,1,0
2004,102.0,8,70,12,1,0
1995,114.0,7,80,35,1,0
2000,111.0,8,80,27,1,0
2010,125.0,7,80,7,0,0
2021,3.0,9,80,31,2,1
2018,76.0,9,81,12,1,0
2021,118.0,8,81,0,1,0
2021,1.0,14,81,17,2,1
2014,103.0,9,0,12,1,0
2021,3.0,9,79,3,2,1
2020,114.0,9,81,10,1,0
2009,1.0,9,81,16,2,1
2021,1.0,9,81,3,2,1
2021,2.0,11,80,29,2,1
2009,95.0,9,81,12,1,0
2021,138.0,11,81,0,0,0
2021,112.0,11,81,0,1,0
2013,94.0,12,50,7,1,0
2021,102.0,9,81,7,1,0
2021,1.0,14,81,2,2,1
2021,92.0,11,56,0,1,0
2019,81.0,9,80,10,1,0
2021,1.0,11,81,21,2,1
2021,7.0,9,80,8,2,1
2021,1.0,11,81,8,2,1
2021,3.0,9,80,31,2,1
2012,143.0,11,30,0,0,0
2021,86.0,9,81,35,1,0
2021,3.0,11,23,8,2,1
2021,4.0,13,80,17,2,1
2021,132.0,9,81,7,0,0
2021,1.0,11,81,28,2,1
2019,117.0,11,21,12,1,0
2019,10.0,11,80,5,2,1
2020,4.0,11,11,16,2,1
2012,165.0,8,80,0,0,0
2021,91.0,6,2,4,1,0
2021,97.0,11,81,12,1,0
2021,97.0,11,81,7,1,0
2021,123.0,11,81,0,0,0
2021,1.0,11,81,16,2,1
2021,94.0,11,81,13,1,0
2021,1.0,12,81,29,2,1
2021,1.0,12,81,2,2,1
2021,2.0,11,70,16,2,1
2021,111.0,11,79,12,1,0
2021,2.0,11,80,11,2,1
2021,85.0,11,81,10,1,0
2015,65.0,13,81,4,1,0
2013,64.0,14,81,4,1,0
2009,68.0,14,81,4,1,0
2011,67.0,14,81,4,1,0
2010,66.0,14,81,4,1,0
2013,64.0,14,30,4,1,0
2013,64.0,14,81,4,1,0
2013,65.0,14,81,4,1,0
2013,64.0,14,81,4,1,0
2012,68.0,14,81,4,1,0
2009,68.0,14,30,4,1,0
2013,64.0,14,81,4,1,0
2015,62.0,14,81,4,1,0
2019,63.0,13,81,4,1,0
2010,69.0,14,81,4,1,0
2012,70.0,14,81,4,1,0
2014,63.0,14,81,4,1,0
2011,68.0,14,81,4,1,0
2011,74.0,14,81,4,1,0
2012,68.0,14,81,4,1,0
2019,5.0,9,80,31,2,1
2021,99.0,11,49,12,1,0
2019,90.0,9,81,7,1,0
2021,87.0,10,81,1,1,0
2020,105.0,9,50,12,1,0
2021,1.0,9,81,3,2,1
2021,1.0,11,81,16,2,1
2021,106.0,14,81,4,1,0
2020,102.0,11,80,7,1,0
2020,1.0,11,1,5,2,1
2019,1.0,11,81,8,2,1
2021,91.0,9,61,12,1,0
2021,88.0,8,80,0,1,0
2020,107.0,12,81,12,1,0
2021,101.0,11,75,12,1,0
2021,3.0,11,80,11,2,1
2021,114.0,8,81,13,1,0
2021,1.0,14,80,17,2,1
1999,123.0,8,81,7,0,0
2021,1.0,9,81,11,2,1
2017,94.0,8,80,12,1,0
2017,105.0,7,80,12,1,0
2011,117.0,7,80,12,1,0
2012,115.0,7,80,12,1,0
2010,124.0,7,80,12,0,0
2009,131.0,7,80,12,0,0
2008,122.0,7,80,0,0,0
2021,113.0,12,31,7,1,0
2021,2.0,11,37,2,2,1
1983,91.0,11,81,7,1,0
2021,100.0,11,81,10,1,0
2019,1.0,9,68,16,2,1
2021,93.0,12,19,10,1,0
2021,90.0,9,81,12,1,0
2021,2.0,9,80,30,2,1
2007,86.0,6,80,4,1,0
2019,100.0,9,81,7,1,0
2019,96.0,11,80,10,1,0
2021,95.0,11,35,13,1,0
2021,115.0,8,81,0,1,0
2021,1.0,11,81,8,2,1
2021,1.0,11,81,21,2,1
2021,100.0,11,81,10,1,0
2021,102.0,11,81,7,1,0
2019,87.0,11,80,12,1,0
2021,39.0,9,81,19,2,0
2021,110.0,12,81,4,1,0
2021,1.0,13,80,17,2,1
2020,93.0,11,80,10,1,0
2015,96.0,8,80,0,1,0
2019,93.0,11,81,27,1,0
2016,93.0,11,81,7,1,0
2021,4.0,9,80,30,2,1
2021,2.0,11,23,16,2,1
2021,111.0,8,81,13,1,0
2020,105.0,9,81,7,1,0
2021,101.0,11,81,0,1,0
2021,1.0,11,81,11,2,1
2021,102.0,11,81,12,1,0
2021,46.0,10,81,27,2,0
2021,89.0,9,81,35,1,0
2016,94.0,6,27,4,1,0
2021,1.0,11,81,16,2,1
2021,3.0,9,80,23,2,1
2017,104.0,9,40,7,1,0
2021,1.0,11,81,8,2,1
2017,97.0,7,80,7,1,0
2018,91.0,7,80,12,1,0
2021,1.0,11,80,2,2,1
2015,106.0,8,80,7,1,0
2019,38.0,11,81,10,2,0
2014,90.0,7,21,0,1,0
2021,1.0,9,81,11,2,1
2020,87.0,11,81,12,1,0
2021,2.0,12,80,11,2,1
2021,138.0,11,81,0,0,0
2020,105.0,11,81,12,1,0
2010,104.0,9,50,12,1,0
2021,2.0,11,56,8,2,1
2021,1.0,11,81,16,2,1
2020,85.0,12,81,12,1,0
2021,92.0,10,2,15,1,0
2019,108.0,9,81,7,1,0
2019,95.0,11,21,12,1,0
2019,3.0,13,80,17,2,1
2016,2.0,9,11,16,2,1
2017,2.0,11,80,28,2,1
2007,4.0,14,21,17,2,1
2018,3.0,9,80,29,2,1
2019,5.0,11,79,3,2,1
2019,2.0,11,79,3,2,1
2021,2.0,11,75,16,2,1
2017,2.0,9,37,16,2,1
2020,105.0,9,30,12,1,0
2020,2.0,11,79,3,2,1
2021,2.0,11,80,30,2,1
2021,5.0,11,11,16,2,1
2015,3.0,14,60,17,2,1
2019,3.0,11,79,3,2,1
2019,2.0,11,37,16,2,1
2018,8.0,13,80,17,2,1
2019,7.0,11,80,30,2,1
2016,2.0,13,33,17,2,1
2012,116.0,9,30,12,1,0
1976,124.0,11,19,12,0,0
2015,2.0,10,80,17,2,1
2018,101.0,12,43,12,1,0
2019,3.0,11,80,8,2,1
2021,3.0,9,34,16,2,1
2019,95.0,10,31,12,1,0
2015,2.0,13,11,17,2,1
2018,3.0,9,2,11,2,1
2018,6.0,9,37,16,2,1
2021,2.0,12,79,3,2,1
2020,2.0,12,2,17,2,1
2020,4.0,10,79,3,2,1
2018,128.0,9,30,7,0,0
1959,143.0,9,30,12,0,0
2020,2.0,11,6,8,2,1
2021,5.0,11,11,16,2,1
2020,3.0,13,68,17,2,1
2021,1.0,9,81,16,2,1
2021,1.0,14,80,17,2,1
2020,17.0,9,80,23,2,1
2020,1.0,9,81,16,2,1
2021,107.0,8,81,13,1,0
2021,136.0,11,30,15,0,0
2020,94.0,11,81,7,1,0
2019,2.0,11,21,8,2,1
2020,136.0,11,50,12,0,0
2013,126.0,8,68,0,0,0
2021,116.0,9,68,13,1,0
2018,100.0,7,2,13,1,0
2012,115.0,8,80,0,1,0
1997,125.0,8,80,0,0,0
2021,39.0,7,81,10,2,0
2002,94.0,7,80,0,1,0
1997,90.0,7,80,7,1,0
1999,95.0,7,80,0,1,0
1997,155.0,8,80,7,0,0
2020,1.0,10,2,16,2,1
2000,98.0,7,80,0,1,0
1995,108.0,7,80,0,1,0
1993,96.0,6,80,4,1,0
2019,117.0,9,84,12,1,0
2021,118.0,9,81,0,1,0
2021,1.0,11,81,16,2,1
2019,103.0,7,79,7,1,0
2008,94.0,6,80,4,1,0
2011,93.0,6,80,4,1,0
2010,115.0,7,80,7,1,0
2019,120.0,8,79,12,0,0
2021,1.0,11,81,16,2,1
2005,145.0,7,21,12,0,0
1988,126.0,8,80,0,0,0
2021,96.0,9,81,0,1,0
1995,101.0,7,80,0,1,0
2016,118.0,7,80,7,1,0
2011,109.0,8,80,7,1,0
2001,89.0,8,80,7,1,0
2018,106.0,7,79,12,1,0
1992,101.0,8,81,13,1,0
2020,1.0,11,81,16,2,1
2018,1.0,13,80,17,2,1
2019,101.0,8,79,12,1,0
2016,3.0,14,81,2,2,1
2008,123.0,7,80,12,0,0
2010,106.0,8,80,7,1,0
2000,89.0,6,80,4,1,0
2009,128.0,7,80,0,0,0
1999,85.0,6,23,4,1,0
2019,89.0,8,80,7,1,0
2006,108.0,7,80,0,1,0
2010,105.0,8,80,12,1,0
2019,133.0,7,80,12,0,0
1997,129.0,8,80,35,0,0
1984,127.0,6,80,0,0,0
1986,113.0,6,80,0,1,0
1989,112.0,6,80,4,1,0
2003,130.0,8,79,12,0,0
1980,100.0,8,80,0,1,0
2006,103.0,7,79,12,1,0
2008,85.0,8,80,13,1,0
2002,124.0,7,80,0,0,0
2010,103.0,7,80,0,1,0
2003,121.0,8,80,0,0,0
2012,89.0,8,80,0,1,0
2009,92.0,8,80,0,1,0
2020,112.0,11,50,12,1,0
1998,114.0,7,80,12,1,0
1998,116.0,8,80,12,1,0
2019,110.0,8,81,12,1,0
2021,1.0,11,71,16,2,1
2021,98.0,11,80,0,1,0
2020,98.0,9,81,12,1,0
2019,1.0,11,80,21,2,1
2020,1.0,9,81,2,2,1
2019,100.0,8,80,35,1,0
2021,90.0,11,81,7,1,0
2021,92.0,11,81,12,1,0
2021,1.0,11,45,8,2,1
2021,1.0,11,81,3,2,1
2020,1.0,9,13,2,2,1
2021,4.0,13,80,17,2,1
2020,82.0,9,81,12,1,0
2012,97.0,8,80,12,1,0
2021,5.0,9,37,2,2,1
2019,90.0,9,81,7,1,0
2018,76.0,11,81,12,1,0
2019,83.0,9,21,10,1,0
2010,101.0,11,41,12,1,0
2021,109.0,7,80,0,1,0
2021,1.0,11,81,16,2,1
2021,1.0,11,80,23,2,1
2021,1.0,9,81,2,2,1
2021,1.0,11,81,16,2,1
2021,97.0,6,81,10,1,0
2021,2.0,11,37,16,2,1
2021,87.0,8,80,13,1,0
2021,94.0,11,81,7,1,0
2021,89.0,9,81,10,1,0
2021,88.0,11,81,7,1,0
2021,1.0,10,81,16,2,1
2021,2.0,11,80,21,2,1
2019,108.0,9,81,12,1,0
2016,96.0,9,7,12,1,0
2003,84.0,11,50,7,1,0
2004,70.0,9,81,7,1,0
2021,1.0,11,81,11,2,1
2014,125.0,11,59,7,0,0
2016,119.0,11,59,7,1,0
2015,105.0,11,59,15,1,0
2001,2.0,9,80,21,2,1
2021,1.0,9,81,16,2,1
2018,1.0,9,75,16,2,1
2021,4.0,9,80,29,2,1
2018,4.0,11,21,16,2,1
2018,1.0,9,80,30,2,1
2019,1.0,11,81,16,2,1
2020,2.0,13,70,17,2,1
2020,2.0,11,20,8,2,1
2020,1.0,9,81,16,2,1
2015,6.0,9,80,30,2,1
2018,3.0,11,80,8,2,1
2020,5.0,11,70,8,2,1
1981,133.0,9,81,0,0,0
1982,140.0,11,81,0,0,0
1988,120.0,9,81,0,0,0
2019,1.0,11,1,16,2,1
2019,2.0,11,80,31,2,1
2018,1.0,11,37,16,2,1
2019,4.0,9,80,8,2,1
2020,6.0,11,11,30,2,1
2018,1.0,11,80,8,2,1
2018,1.0,11,75,8,2,1
2020,1.0,11,80,11,2,1
2018,1.0,11,79,3,2,1
2021,1.0,11,2,16,2,1
2021,135.0,11,81,12,0,0
2021,4.0,11,70,8,2,1
2021,111.0,7,80,12,1,0
2021,2.0,9,68,16,2,1
2021,159.0,11,81,0,0,0
2020,119.0,9,50,7,1,0
1981,139.0,9,81,0,0,0
2021,137.0,9,81,0,0,0
2021,1.0,9,81,16,2,1
2021,1.0,9,81,16,2,1
2021,101.0,9,81,7,1,0
2019,13.0,12,41,7,2,0
2015,12.0,9,81,12,2,0
2021,2.0,11,11,29,2,1
2021,1.0,11,81,16,2,1
2020,101.0,11,55,12,1,0
2021,1.0,11,29,16,2,1
2021,1.0,11,81,2,2,1
2019,96.0,11,11,12,1,0
2012,122.0,8,80,7,0,0
2021,3.0,11,76,16,2,1
2018,95.0,9,81,7,1,0
2019,89.0,9,23,10,1,0
2021,1.0,11,81,16,2,1
2021,1.0,9,81,16,2,1
2016,98.0,7,80,12,1,0
2020,3.0,11,1,16,2,1
2021,1.0,12,81,11,2,1
2021,119.0,11,35,12,1,0
2020,138.0,11,81,0,0,0
2020,1.0,14,80,17,2,1
2021,1.0,11,81,8,2,1
2021,1.0,11,81,16,2,1
1972,104.0,11,80,10,1,0
2021,273.0,10,81,10,0,0
2013,101.0,8,80,7,1,0
2021,1.0,10,80,17,2,1
2021,2.0,13,81,17,2,1
2020,99.0,8,80,0,1,0
2005,84.0,11,80,10,1,0
2014,1.0,10,80,21,2,1
2021,82.0,9,80,10,1,0
2021,1.0,11,81,16,2,1
2014,1.0,11,80,34,2,1
2020,97.0,11,80,10,1,0
2021,89.0,11,80,13,1,0
2021,36.0,11,81,19,2,0
2021,34.0,11,81,19,2,0
2021,2.0,9,68,16,2,1
2021,36.0,11,81,19,2,0
2016,2.0,14,18,17,2,1
2021,2.0,11,21,8,2,1
2021,113.0,12,30,7,1,0
2021,110.0,6,80,4,1,0
2021,1.0,11,55,2,2,1
2021,36.0,9,81,1,2,0
2021,102.0,6,13,4,1,0
2014,86.0,8,80,7,1,0
2012,91.0,11,41,12,1,0
2021,117.0,11,84,12,1,0
2014,99.0,11,11,12,1,0
2021,1.0,11,14,16,2,1
2019,77.0,9,78,15,1,0
2021,97.0,11,80,12,1,0
2013,106.0,11,50,7,1,0
2021,1.0,12,80,21,2,1
2021,2.0,11,80,8,2,1
2021,97.0,11,45,12,1,0
2018,2.0,14,81,17,2,1
2014,104.0,7,80,0,1,0
2007,1.0,11,14,16,2,1
2018,110.0,8,79,12,1,0
2021,61.0,10,48,4,1,0
2020,98.0,11,50,12,1,0
2021,74.0,12,80,10,1,0
2021,2.0,11,79,23,2,1
2015,60.0,10,81,19,1,0
2015,60.0,10,81,19,1,0
2021,1.0,12,81,11,2,1
2021,103.0,9,68,7,1,0
2021,1.0,9,80,29,2,1
2021,94.0,9,67,7,1,0
2021,112.0,11,70,0,1,0
2021,49.0,11,45,27,2,0
2021,1.0,9,37,16,2,1
2021,111.0,11,71,7,1,0
2020,58.0,10,1,10,2,0
2021,72.0,9,78,10,1,0
2021,1.0,9,81,34,2,1
2021,2.0,11,35,16,2,1
2019,78.0,11,55,12,1,0
2020,101.0,7,80,12,1,0
2012,110.0,11,80,12,1,0
2001,94.0,7,80,0,1,0
2009,70.0,11,80,7,1,0
2013,1.0,11,37,2,2,1
2000,118.0,7,80,0,1,0
2019,2.0,13,79,17,2,1
2021,99.0,9,81,10,1,0
1997,103.0,8,11,12,1,0
2021,95.0,11,7,7,1,0
2011,93.0,11,80,7,1,0
2021,3.0,13,80,17,2,1
2013,101.0,8,80,0,1,0
2003,101.0,8,80,0,1,0
2001,89.0,7,80,35,1,0
2015,6.0,9,79,3,2,1
2015,109.0,11,80,10,1,0
2008,104.0,8,80,0,1,0
2010,90.0,6,80,7,1,0
1997,109.0,7,80,7,1,0
2019,145.0,9,50,7,0,0
2012,3.0,9,80,30,2,1
2011,88.0,8,80,9,1,0
2001,132.0,7,80,12,0,0
1997,109.0,8,80,7,1,0
2004,133.0,7,80,12,0,0
2012,85.0,9,80,12,1,0
2011,104.0,8,80,0,1,0
2009,99.0,8,23,0,1,0
2006,1.0,12,37,2,2,1
2006,93.0,8,11,13,1,0
2021,1.0,9,81,16,2,1
2017,204.0,9,81,0,0,0
2017,212.0,12,81,0,0,0
2014,98.0,8,80,0,1,0
2004,101.0,7,80,0,1,0
1984,94.0,6,80,0,1,0
2021,25.0,13,81,4,2,0
2001,99.0,8,80,0,1,0
1993,1.0,14,80,17,2,1
1981,108.0,6,80,7,1,0
2015,106.0,11,81,12,1,0
2005,128.0,7,79,35,0,0
2015,104.0,7,80,7,1,0
