type,release_year,rating,duration,country,cluster
1,2021,15,1.0,736,0
0,2021,12,87.0,736,1
1,2019,14,2.0,736,0
0,2021,8,96.0,736,1
1,2017,15,4.0,736,0
0,2019,12,95.0,469,1
0,2021,10,92.0,162,1
1,2021,12,2.0,38,0
0,2021,12,91.0,736,1
0,2018,7,90.0,589,1
1,2021,12,3.0,718,0
0,2018,12,97.0,603,1
1,2021,15,2.0,603,0
1,2021,14,1.0,506,0
1,2021,12,1.0,206,0
1,2019,15,2.0,736,0
0,2021,12,80.0,603,3
1,2021,10,1.0,736,0
0,2020,12,117.0,736,1
1,2016,14,2.0,435,0
0,2017,10,128.0,251,2
1,2021,11,5.0,603,0
0,2018,3,90.0,603,1
1,2021,11,1.0,15,0
1,2021,12,5.0,444,0
1,2021,12,1.0,736,0
1,2021,14,1.0,705,0
0,2021,8,119.0,736,1
0,2021,13,110.0,736,1
0,1994,10,143.0,251,2
0,2009,7,119.0,510,1
0,2015,13,114.0,251,1
0,2021,8,94.0,589,1
0,2017,10,106.0,251,1
0,2020,12,99.0,736,1
1,2021,15,1.0,15,0
1,2019,10,1.0,736,0
0,2003,9,118.0,511,1
1,2012,15,1.0,736,0
1,2013,15,3.0,435,0
1,2021,12,1.0,603,0
0,2020,10,115.0,251,1
0,2004,7,95.0,621,1
0,2017,8,115.0,736,1
0,2005,8,108.0,228,1
0,2021,14,63.0,736,3
0,1982,9,117.0,603,2
1,2021,12,1.0,736,0
0,2015,9,121.0,431,2
0,1994,8,142.0,690,2
0,1993,9,113.0,683,1
0,2003,9,154.0,684,2
0,2001,7,95.0,30,1
0,2010,8,108.0,603,1
0,1989,9,120.0,603,2
0,2014,12,100.0,14,1
0,2015,9,82.0,720,3
0,2007,8,124.0,228,2
0,2011,8,114.0,603,1
0,1990,9,104.0,603,1
0,1991,9,94.0,603,1
0,1994,9,94.0,603,1
1,2021,13,1.0,736,0
1,2020,10,1.0,736,0
0,1998,9,93.0,603,1
0,1999,9,97.0,603,1
0,2005,10,109.0,108,1
0,2016,12,88.0,603,1
1,2016,14,2.0,407,0
1,2015,12,3.0,319,0
0,1986,7,101.0,589,1
0,2010,7,105.0,603,1
0,2018,10,102.0,58,1
0,2003,8,101.0,603,1
0,2010,12,103.0,239,1
1,1992,13,4.0,603,0
0,1996,8,106.0,603,1
0,2017,8,118.0,635,1
0,2003,9,86.0,603,1
0,1999,8,121.0,603,2
1,2019,12,1.0,736,0
0,1984,9,229.0,316,2
0,2008,7,76.0,621,3
0,2001,7,95.0,603,1
0,2006,8,98.0,603,1
0,1997,9,89.0,603,1
0,2017,8,120.0,603,1
0,2003,8,110.0,656,1
0,2015,8,83.0,603,3
0,2003,9,121.0,603,2
0,1980,9,105.0,603,1
0,1986,8,94.0,603,1
0,1961,10,156.0,589,2
0,2014,9,112.0,603,1
0,1996,8,95.0,603,1
0,2000,8,107.0,736,1
1,2021,10,1.0,736,0
0,2008,8,114.0,603,1
0,1993,9,129.0,603,2
1,2021,13,1.0,603,0
0,2021,12,86.0,736,1
1,2021,10,1.0,736,0
1,2021,11,1.0,736,0
0,2008,12,97.0,162,1
1,2020,14,2.0,736,0
0,2021,10,125.0,251,2
0,2017,9,107.0,520,1
0,2008,10,127.0,251,2
1,2021,12,1.0,1,0
1,2002,12,1.0,736,0
0,2008,10,128.0,251,2
0,2021,10,92.0,736,1
1,2021,15,1.0,736,0
1,2021,12,1.0,368,0
0,2006,10,135.0,251,2
0,2004,10,124.0,251,2
0,2003,10,136.0,251,2
0,2005,12,165.0,251,2
0,2016,12,124.0,251,2
0,2012,12,136.0,251,2
0,2001,10,150.0,251,2
0,2010,12,112.0,251,1
0,2008,10,119.0,251,1
0,2010,10,133.0,251,2
0,2013,10,142.0,251,2
0,2011,12,93.0,251,1
0,2014,12,113.0,251,1
1,2016,12,2.0,279,0
1,2021,13,3.0,736,0
0,2021,9,124.0,736,2
0,2007,12,116.0,251,1
0,2011,10,106.0,251,1
0,2011,10,145.0,251,2
1,2021,10,1.0,736,0
1,2021,10,1.0,319,0
1,2021,13,4.0,603,0
0,2021,10,93.0,736,1
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
1,2021,10,1.0,736,0
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
0,2020,12,95.0,603,1
0,2014,9,108.0,718,1
0,2020,12,90.0,603,1
0,2021,12,86.0,736,1
0,2021,7,92.0,603,1
1,2019,11,3.0,603,0
0,2021,12,82.0,506,3
1,2021,14,1.0,736,0
0,2021,13,70.0,736,3
0,2021,10,122.0,736,2
0,2021,10,122.0,736,2
0,2021,10,122.0,736,2
0,2021,10,122.0,736,2
0,2021,12,84.0,736,3
1,2021,10,3.0,603,0
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
0,2018,10,96.0,736,1
1,2021,13,1.0,736,0
0,2021,12,115.0,736,1
0,2021,9,110.0,603,1
1,2021,12,1.0,736,0
0,2021,15,88.0,736,1
0,2020,13,102.0,736,1
0,2011,8,91.0,603,1
0,2021,12,105.0,736,1
0,1995,10,135.0,251,2
1,2021,14,5.0,603,0
0,2021,12,86.0,736,1
0,2020,10,140.0,736,2
0,2015,10,133.0,736,2
0,2020,12,92.0,736,1
0,2018,13,82.0,262,3
1,2020,12,1.0,736,0
0,2021,10,97.0,736,1
0,2021,12,78.0,736,3
1,2016,14,2.0,603,0
0,2014,9,94.0,603,1
1,2018,10,1.0,319,0
1,2020,12,1.0,251,0
0,1993,9,121.0,364,2
0,2020,12,97.0,736,1
1,2015,15,2.0,302,0
0,2021,12,110.0,304,1
1,2021,12,1.0,603,0
1,2021,15,5.0,603,0
1,2021,12,1.0,162,0
1,2021,12,7.0,603,0
1,2021,12,1.0,2,0
1,2021,12,2.0,444,0
1,2021,10,1.0,323,0
0,2021,12,64.0,121,3
0,2021,13,59.0,686,3
1,2021,13,1.0,603,0
0,2016,10,101.0,368,1
0,2020,12,127.0,342,2
0,2021,8,90.0,43,1
0,2021,10,114.0,589,1
0,2013,9,108.0,478,1
1,2021,14,2.0,603,0
1,2021,10,1.0,736,0
1,2018,12,1.0,121,0
1,2019,10,1.0,435,0
0,2021,12,70.0,603,3
1,2021,10,1.0,319,0
0,2012,8,98.0,506,1
0,2021,12,86.0,426,1
0,2020,13,139.0,736,2
0,2021,8,111.0,603,1
1,2021,12,1.0,301,0
1,2021,12,1.0,251,0
0,2020,12,115.0,368,1
0,2021,10,102.0,162,1
0,2021,7,100.0,86,1
0,2013,10,135.0,251,2
0,2013,12,69.0,45,3
0,1985,12,95.0,2,1
0,2021,10,97.0,506,1
0,1993,12,124.0,9,2
0,2016,13,118.0,368,1
0,2021,12,115.0,603,1
0,2012,12,115.0,603,1
1,2021,13,3.0,736,0
1,2021,12,1.0,603,0
1,2021,12,2.0,342,0
1,2021,12,1.0,603,0
1,2009,10,1.0,483,0
0,1995,9,104.0,603,1
0,2010,12,106.0,699,1
1,2011,10,1.0,483,0
0,2021,8,102.0,603,1
0,2021,12,97.0,736,1
1,2005,10,1.0,483,0
1,2021,13,1.0,736,0
1,2013,10,1.0,483,0
1,2008,12,1.0,483,0
1,2012,10,7.0,603,0
1,2020,15,3.0,302,0
0,1992,7,87.0,603,1
0,1993,7,88.0,603,1
0,2007,8,114.0,718,1
0,2016,9,90.0,53,1
0,2002,8,142.0,621,2
0,2009,7,90.0,621,1
1,2020,12,1.0,736,0
0,1999,9,105.0,690,1
0,1986,8,103.0,603,1
0,2019,8,116.0,603,1
0,2006,9,113.0,603,1
1,2010,10,5.0,736,0
0,2007,9,99.0,621,1
1,2014,10,6.0,319,0
0,2021,10,96.0,736,1
0,2010,8,148.0,718,2
0,1999,9,189.0,603,2
0,1995,8,97.0,603,1
0,1991,8,102.0,603,1
0,1994,7,99.0,603,1
0,2015,7,85.0,621,1
0,2008,9,112.0,603,1
0,2009,7,91.0,468,1
0,2019,8,91.0,589,1
0,2003,8,141.0,603,2
0,2000,8,130.0,603,2
0,2004,9,98.0,656,1
0,2016,9,105.0,632,1
0,2013,9,101.0,603,1
0,1991,9,105.0,603,1
0,2011,9,118.0,603,1
0,2010,8,97.0,643,1
0,2004,9,102.0,455,1
0,1995,8,114.0,603,1
0,2000,9,111.0,603,1
0,2010,8,125.0,603,2
1,2021,10,3.0,603,0
0,2018,10,76.0,736,3
0,2021,9,118.0,736,1
1,2021,15,1.0,736,0
0,2014,10,103.0,0,1
1,2021,10,3.0,506,0
0,2020,10,114.0,736,1
1,2009,10,1.0,736,0
1,2021,10,1.0,736,0
1,2021,12,2.0,603,0
0,2009,10,95.0,736,1
0,2021,12,138.0,736,2
0,2021,12,112.0,736,1
0,2013,13,94.0,368,1
0,2021,10,102.0,736,1
1,2021,15,1.0,736,0
0,2021,12,92.0,394,1
0,2019,10,81.0,603,3
1,2021,12,1.0,736,0
1,2021,10,7.0,603,0
1,2021,12,1.0,736,0
1,2021,10,3.0,603,0
0,2012,12,143.0,251,2
0,2021,10,86.0,736,1
1,2021,12,3.0,212,0
1,2021,14,4.0,621,0
0,2021,10,132.0,736,2
1,2021,12,1.0,736,0
0,2019,12,117.0,185,1
1,2019,12,10.0,603,0
1,2020,12,4.0,86,0
0,2012,9,165.0,603,2
0,2021,7,91.0,15,1
0,2021,12,97.0,736,1
0,2021,12,97.0,736,1
0,2021,12,123.0,736,2
1,2021,12,1.0,736,0
0,2021,12,94.0,736,1
1,2021,13,1.0,736,0
1,2021,13,1.0,736,0
1,2021,12,2.0,444,0
0,2021,12,111.0,506,1
1,2021,12,2.0,603,0
0,2021,12,85.0,736,1
0,2015,14,65.0,736,3
0,2013,15,64.0,736,3
0,2009,15,68.0,736,3
0,2011,15,67.0,736,3
0,2010,15,66.0,736,3
0,2013,15,64.0,251,3
0,2013,15,64.0,736,3
0,2013,15,65.0,736,3
0,2013,15,64.0,736,3
0,2012,15,68.0,736,3
0,2009,15,68.0,251,3
0,2013,15,64.0,736,3
0,2015,15,62.0,736,3
0,2019,14,63.0,736,3
0,2010,15,69.0,736,3
0,2012,15,70.0,736,3
0,2014,15,63.0,736,3
0,2011,15,68.0,736,3
0,2011,15,74.0,736,3
0,2012,15,68.0,736,3
1,2019,10,5.0,603,0
0,2021,12,99.0,363,1
0,2019,10,90.0,736,1
0,2021,11,87.0,736,1
0,2020,10,105.0,368,1
1,2021,10,1.0,736,0
1,2021,12,1.0,736,0
0,2021,15,106.0,736,1
0,2020,12,102.0,603,1
1,2020,12,1.0,2,0
1,2019,12,1.0,736,0
0,2021,10,91.0,412,1
0,2021,9,88.0,603,1
0,2020,13,107.0,736,1
0,2021,12,101.0,488,1
1,2021,12,3.0,603,0
0,2021,9,114.0,736,1
1,2021,15,1.0,621,0
0,1999,9,123.0,736,2
1,2021,10,1.0,736,0
0,2017,9,94.0,603,1
0,2017,8,105.0,603,1
0,2011,8,117.0,603,1
0,2012,8,115.0,603,1
0,2010,8,124.0,603,2
0,2009,8,131.0,603,2
0,2008,8,122.0,603,2
0,2021,13,113.0,272,1
1,2021,12,2.0,319,0
0,1983,12,91.0,736,1
0,2021,12,100.0,736,1
1,2019,10,1.0,435,0
0,2021,13,93.0,153,1
0,2021,10,90.0,736,1
1,2021,10,2.0,603,0
0,2007,7,86.0,621,1
0,2019,10,100.0,736,1
0,2019,12,96.0,603,1
0,2021,12,95.0,302,1
0,2021,9,115.0,736,1
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
0,2021,12,100.0,736,1
0,2021,12,102.0,736,1
0,2019,12,87.0,621,1
0,2021,10,39.0,736,3
0,2021,13,110.0,736,1
1,2021,14,1.0,603,0
0,2020,12,93.0,603,1
0,2015,9,96.0,714,1
0,2019,12,93.0,736,1
0,2016,12,93.0,736,1
1,2021,10,4.0,603,0
1,2021,12,2.0,212,0
0,2021,9,111.0,736,1
0,2020,10,105.0,736,1
0,2021,12,101.0,736,1
1,2021,12,1.0,736,0
0,2021,12,102.0,736,1
0,2021,11,46.0,736,3
0,2021,10,89.0,736,1
0,2016,7,94.0,240,1
1,2021,12,1.0,736,0
1,2021,10,3.0,603,0
0,2017,10,104.0,327,1
1,2021,12,1.0,736,0
0,2017,8,97.0,603,1
0,2018,8,91.0,603,1
1,2021,12,1.0,686,0
0,2015,9,106.0,603,1
0,2019,12,38.0,736,3
0,2014,8,90.0,178,1
1,2021,10,1.0,736,0
0,2020,12,87.0,736,1
1,2021,13,2.0,603,0
0,2021,12,138.0,736,2
0,2020,12,105.0,736,1
0,2010,10,104.0,368,1
1,2021,12,2.0,394,0
1,2021,12,1.0,736,0
0,2020,13,85.0,736,1
0,2021,11,92.0,15,1
0,2019,10,108.0,736,1
0,2019,12,95.0,194,1
1,2019,14,3.0,603,0
1,2016,10,2.0,58,0
1,2017,12,2.0,603,0
1,2007,15,4.0,165,0
1,2018,10,3.0,603,0
1,2019,12,5.0,506,0
1,2019,12,2.0,506,0
1,2021,12,2.0,488,0
1,2017,10,2.0,319,0
0,2020,10,105.0,251,1
1,2020,12,2.0,506,0
1,2021,12,2.0,603,0
1,2021,12,5.0,58,0
1,2015,15,3.0,407,0
1,2019,12,3.0,506,0
1,2019,12,2.0,319,0
1,2018,14,8.0,621,0
1,2019,12,7.0,603,0
1,2016,14,2.0,295,0
0,2012,10,116.0,251,1
0,1976,12,124.0,150,2
1,2015,11,2.0,603,0
0,2018,13,101.0,338,1
1,2019,12,3.0,603,0
1,2021,10,3.0,296,0
0,2019,11,95.0,272,1
1,2015,14,2.0,58,0
1,2018,10,3.0,15,0
1,2018,10,6.0,319,0
1,2021,13,2.0,506,0
1,2020,13,2.0,23,0
1,2020,11,4.0,545,0
0,2018,10,128.0,251,2
0,1959,10,143.0,251,2
1,2020,12,2.0,42,0
1,2021,12,5.0,58,0
1,2020,14,3.0,435,0
1,2021,10,1.0,736,0
1,2021,15,1.0,603,0
1,2020,10,17.0,603,0
1,2020,10,1.0,736,0
0,2021,9,107.0,736,1
0,2021,12,136.0,251,2
0,2020,12,94.0,736,1
1,2019,12,2.0,162,0
0,2020,12,136.0,368,2
0,2013,9,126.0,439,2
0,2021,10,116.0,435,1
0,2018,8,100.0,30,1
0,2012,9,115.0,603,1
0,1997,9,125.0,656,2
0,2021,8,39.0,736,3
0,2002,8,94.0,603,1
0,1997,8,90.0,603,1
0,1999,8,95.0,603,1
0,1997,9,155.0,603,2
1,2020,11,1.0,20,0
0,2000,8,98.0,656,1
0,1995,8,108.0,603,1
0,1993,7,96.0,603,1
0,2019,10,117.0,746,1
0,2021,10,118.0,736,1
1,2021,12,1.0,736,0
0,2019,8,103.0,513,1
0,2008,7,94.0,632,1
0,2011,7,93.0,632,1
0,2010,8,115.0,603,1
0,2019,9,120.0,512,1
1,2021,12,1.0,736,0
0,2005,8,145.0,187,2
0,1988,9,126.0,603,2
0,2021,10,96.0,736,1
0,1995,8,101.0,603,1
0,2016,8,118.0,603,1
0,2011,9,109.0,718,1
0,2001,9,89.0,603,1
0,2018,8,106.0,589,1
0,1992,9,101.0,736,1
1,2020,12,1.0,736,0
1,2018,14,1.0,603,0
0,2019,9,101.0,506,1
1,2016,15,3.0,736,0
0,2008,8,123.0,603,2
0,2010,9,106.0,603,1
0,2000,7,89.0,603,1
0,2009,8,128.0,656,2
0,1999,7,85.0,228,1
0,2019,9,89.0,603,1
0,2006,8,108.0,603,1
0,2010,9,105.0,718,1
0,2019,8,133.0,603,2
0,1997,9,129.0,603,2
0,1984,7,127.0,603,2
0,1986,7,113.0,603,1
0,1989,7,112.0,603,1
0,2003,9,130.0,549,2
0,1980,9,100.0,603,1
0,2006,8,103.0,596,1
0,2008,9,85.0,603,1
0,2002,8,124.0,658,2
0,2010,8,103.0,649,1
0,2003,9,121.0,727,2
0,2012,9,89.0,621,1
0,2009,9,92.0,695,1
0,2020,12,112.0,368,1
0,1998,8,114.0,695,1
0,1998,9,116.0,603,1
0,2019,9,110.0,736,1
1,2021,12,1.0,470,0
0,2021,12,98.0,603,1
0,2020,10,98.0,736,1
1,2019,12,1.0,603,0
1,2020,10,1.0,736,0
0,2019,9,100.0,603,1
0,2021,12,90.0,736,1
0,2021,12,92.0,736,1
1,2021,12,1.0,342,0
1,2021,12,1.0,736,0
1,2020,10,1.0,105,0
1,2021,14,4.0,603,0
0,2020,10,82.0,736,3
0,2012,9,97.0,603,1
1,2021,10,5.0,319,0
0,2019,10,90.0,736,1
0,2018,12,76.0,736,3
0,2019,10,83.0,162,3
0,2010,12,101.0,328,1
0,2021,8,109.0,621,1
1,2021,12,1.0,736,0
1,2021,12,1.0,603,0
1,2021,10,1.0,736,0
1,2021,12,1.0,736,0
0,2021,7,97.0,736,1
1,2021,12,2.0,319,0
0,2021,9,87.0,603,1
0,2021,12,94.0,736,1
0,2021,10,89.0,736,1
0,2021,12,88.0,736,1
1,2021,11,1.0,736,0
1,2021,12,2.0,603,0
0,2019,10,108.0,736,1
0,2016,10,96.0,45,1
0,2003,12,84.0,368,1
0,2004,10,70.0,736,3
1,2021,12,1.0,736,0
0,2014,12,125.0,402,2
0,2016,12,119.0,402,1
0,2015,12,105.0,402,1
1,2001,10,2.0,603,0
1,2021,10,1.0,736,0
1,2018,10,1.0,488,0
1,2021,10,4.0,603,0
1,2018,12,4.0,162,0
1,2018,10,1.0,603,0
1,2019,12,1.0,736,0
1,2020,14,2.0,444,0
1,2020,12,2.0,158,0
1,2020,10,1.0,736,0
1,2015,10,6.0,603,0
1,2018,12,3.0,603,0
1,2020,12,5.0,444,0
0,1981,10,133.0,736,2
0,1982,12,140.0,736,2
0,1988,10,120.0,736,2
1,2019,12,1.0,2,0
1,2019,12,2.0,603,0
1,2018,12,1.0,319,0
1,2019,10,4.0,603,0
1,2020,12,6.0,86,0
1,2018,12,1.0,603,0
1,2018,12,1.0,488,0
1,2020,12,1.0,603,0
1,2018,12,1.0,506,0
1,2021,12,1.0,15,0
0,2021,12,135.0,736,2
1,2021,12,4.0,444,0
0,2021,8,111.0,603,1
1,2021,10,2.0,435,0
0,2021,12,159.0,736,2
0,2020,10,119.0,368,1
0,1981,10,139.0,736,2
0,2021,10,137.0,736,2
1,2021,10,1.0,736,0
1,2021,10,1.0,736,0
0,2021,10,101.0,736,1
0,2019,13,13.0,333,0
0,2015,10,12.0,736,0
1,2021,12,2.0,86,0
1,2021,12,1.0,736,0
0,2020,12,101.0,388,1
1,2021,12,1.0,249,0
1,2021,12,1.0,736,0
0,2019,12,96.0,58,1
0,2012,9,122.0,603,2
1,2021,12,3.0,492,0
0,2018,10,95.0,736,1
0,2019,10,89.0,212,1
1,2021,12,1.0,736,0
1,2021,10,1.0,736,0
0,2016,8,98.0,603,1
1,2020,12,3.0,2,0
1,2021,13,1.0,736,0
0,2021,12,119.0,302,1
0,2020,12,138.0,736,2
1,2020,15,1.0,603,0
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
0,1972,12,104.0,603,1
0,2021,11,273.0,736,2
0,2013,9,101.0,603,1
1,2021,11,1.0,603,0
1,2021,14,2.0,736,0
0,2020,9,99.0,603,1
0,2005,12,84.0,603,1
1,2014,11,1.0,603,0
0,2021,10,82.0,718,3
1,2021,12,1.0,736,0
1,2014,12,1.0,603,0
0,2020,12,97.0,603,1
0,2021,12,89.0,603,1
0,2021,12,36.0,736,3
0,2021,12,34.0,736,0
1,2021,10,2.0,435,0
0,2021,12,36.0,736,3
1,2016,15,2.0,134,0
1,2021,12,2.0,206,0
0,2021,13,113.0,251,1
0,2021,7,110.0,671,1
1,2021,12,1.0,392,0
0,2021,10,36.0,736,3
0,2021,7,102.0,119,1
0,2014,9,86.0,603,1
0,2012,12,91.0,334,1
0,2021,12,117.0,746,1
0,2014,12,99.0,88,1
1,2021,12,1.0,121,0
0,2019,10,77.0,499,3
0,2021,12,97.0,603,1
0,2013,12,106.0,368,1
1,2021,13,1.0,603,0
1,2021,12,2.0,603,0
0,2021,12,97.0,347,1
1,2018,15,2.0,736,0
0,2014,8,104.0,718,1
1,2007,12,1.0,121,0
0,2018,9,110.0,589,1
0,2021,11,61.0,354,3
0,2020,12,98.0,368,1
0,2021,13,74.0,603,3
1,2021,12,2.0,506,0
0,2015,11,60.0,736,3
0,2015,11,60.0,736,3
1,2021,13,1.0,736,0
0,2021,10,103.0,435,1
1,2021,10,1.0,603,0
0,2021,10,94.0,426,1
0,2021,12,112.0,444,1
0,2021,12,49.0,342,3
1,2021,10,1.0,319,0
0,2021,12,111.0,470,1
0,2020,11,58.0,2,3
0,2021,10,72.0,499,3
1,2021,10,1.0,736,0
1,2021,12,2.0,302,0
0,2019,12,78.0,388,3
0,2020,8,101.0,603,1
0,2012,12,110.0,603,1
0,2001,8,94.0,603,1
0,2009,12,70.0,603,3
1,2013,12,1.0,319,0
0,2000,8,118.0,603,1
1,2019,14,2.0,506,0
0,2021,10,99.0,736,1
0,1997,9,103.0,86,1
0,2021,12,95.0,45,1
0,2011,12,93.0,621,1
1,2021,14,3.0,603,0
0,2013,9,101.0,603,1
0,2003,9,101.0,603,1
0,2001,8,89.0,603,1
1,2015,10,6.0,506,0
0,2015,12,109.0,603,1
0,2008,9,104.0,603,1
0,2010,7,90.0,603,1
0,1997,8,109.0,603,1
0,2019,10,145.0,368,2
1,2012,10,3.0,603,0
0,2011,9,88.0,603,1
0,2001,8,132.0,603,2
0,1997,9,109.0,603,1
0,2004,8,133.0,603,2
0,2012,10,85.0,603,1
0,2011,9,104.0,603,1
0,2009,9,99.0,230,1
1,2006,13,1.0,319,0
0,2006,9,93.0,86,1
1,2021,10,1.0,736,0
0,2017,10,204.0,736,2
0,2017,13,212.0,736,2
0,2014,9,98.0,618,1
0,2004,8,101.0,603,1
0,1984,7,94.0,603,1
0,2021,14,25.0,736,0
0,2001,9,99.0,603,1
1,1993,15,1.0,621,0
0,1981,7,108.0,603,1
0,2015,12,106.0,736,1
0,2005,8,128.0,539,2
0,2015,8,104.0,603,1
0,1996,8,127.0,603,2
0,1976,7,136.0,603,2
1,2021,10,3.0,499,0
0,2018,9,97.0,506,1
0,2019,9,88.0,603,1
0,2019,12,97.0,603,1
0,2018,9,97.0,603,1
1,2020,12,2.0,603,0
0,2021,12,88.0,603,1
0,2021,10,103.0,736,1
0,2016,8,97.0,603,1
0,2021,15,88.0,736,1
1,2021,12,3.0,603,0
1,2021,12,2.0,736,0
1,2021,10,1.0,736,0
1,2021,12,1.0,296,0
0,2021,13,97.0,603,1
1,2021,13,1.0,736,0
0,2021,12,118.0,488,1
1,2021,12,2.0,371,0
0,2021,12,70.0,2,3
0,2018,12,91.0,482,1
0,2021,12,92.0,302,1
0,2021,12,120.0,736,1
1,2021,10,1.0,736,0
1,2016,12,3.0,319,0
0,2021,12,73.0,736,3
0,2014,10,110.0,736,1
0,2015,7,94.0,603,1
1,2021,12,1.0,736,0
1,2021,12,3.0,603,0
0,2020,11,61.0,736,3
0,2021,10,131.0,251,2
0,2021,10,131.0,736,2
0,2021,10,131.0,736,2
0,2021,9,148.0,603,2
0,2021,12,29.0,736,0
1,2021,15,3.0,603,0
0,2020,12,107.0,736,1
1,2021,12,2.0,444,0
0,2009,10,99.0,736,1
0,2011,10,92.0,150,1
0,2020,12,91.0,15,1
0,2021,15,47.0,736,3
1,2021,12,2.0,603,0
0,2011,7,88.0,603,1
0,2006,10,116.0,736,1
0,2014,9,109.0,603,1
0,2017,9,92.0,603,1
0,1998,8,87.0,603,1
1,1997,14,1.0,86,0
1,2021,12,2.0,342,0
0,2021,10,101.0,603,1
0,2021,10,140.0,251,2
0,2016,9,89.0,603,1
0,2021,12,81.0,251,3
1,2021,14,1.0,506,0
0,2020,12,116.0,736,1
1,2021,12,1.0,251,0
0,2021,12,99.0,251,1
0,2021,12,107.0,42,1
1,2021,12,1.0,603,0
1,2021,12,3.0,639,0
0,2021,12,107.0,426,1
0,2021,15,90.0,340,1
1,2021,12,2.0,603,0
1,2021,12,1.0,435,0
0,2018,12,104.0,79,1
1,2020,10,1.0,736,0
0,2020,12,100.0,31,1
0,2021,10,32.0,736,0
0,2021,9,102.0,603,1
1,2021,12,4.0,603,0
0,2004,9,105.0,506,1
0,2018,12,107.0,251,1
0,2020,10,64.0,736,3
0,2021,12,99.0,344,1
0,2021,10,102.0,206,1
1,2021,10,1.0,603,0
1,2021,10,1.0,736,0
0,2020,10,126.0,736,2
0,2020,12,119.0,444,1
1,2021,10,1.0,603,0
0,2019,13,86.0,603,1
1,2021,10,1.0,435,0
0,2021,12,122.0,251,2
0,2017,9,95.0,603,1
0,2021,10,104.0,105,1
0,1999,12,118.0,492,1
0,2020,12,85.0,603,1
1,2021,12,1.0,603,0
0,2021,10,98.0,251,1
0,2021,12,99.0,603,1
1,2017,15,2.0,251,0
0,2021,10,35.0,736,0
0,2020,13,107.0,251,1
0,2017,12,97.0,589,1
0,2020,12,112.0,219,1
0,2013,9,118.0,603,1
0,2019,12,109.0,603,1
1,2021,13,1.0,251,0
1,2021,12,1.0,603,0
1,2020,13,2.0,350,0
1,2018,12,3.0,603,0
0,2018,12,109.0,603,1
1,2021,14,2.0,736,0
0,2020,7,88.0,603,1
1,2010,14,2.0,736,0
0,2006,9,97.0,603,1
1,2010,14,2.0,736,0
0,1989,8,97.0,603,1
0,2017,9,99.0,736,1
